No.,Date,Day of Week,Market Status,Trading Session Type,Market Open (ET),Market Close (ET),Early Close,Notes
1,2025/1/2,星期四,可交易,常规交易日,09:30,16:00,否,
2,2025/1/3,星期五,可交易,常规交易日,09:30,16:00,否,
3,2025/1/6,星期一,可交易,常规交易日,09:30,16:00,否,
4,2025/1/7,星期二,可交易,常规交易日,09:30,16:00,否,
5,2025/1/8,星期三,可交易,常规交易日,09:30,16:00,否,
6,2025/1/10,星期五,可交易,常规交易日,09:30,16:00,否,
7,2025/1/13,星期一,可交易,常规交易日,09:30,16:00,否,
8,2025/1/14,星期二,可交易,常规交易日,09:30,16:00,否,
9,2025/1/15,星期三,可交易,常规交易日,09:30,16:00,否,
10,2025/1/16,星期四,可交易,常规交易日,09:30,16:00,否,
11,2025/1/17,星期五,可交易,常规交易日,09:30,16:00,否,
12,2025/1/21,星期二,可交易,常规交易日,09:30,16:00,否,
13,2025/1/22,星期三,可交易,常规交易日,09:30,16:00,否,
14,2025/1/23,星期四,可交易,常规交易日,09:30,16:00,否,
15,2025/1/24,星期五,可交易,常规交易日,09:30,16:00,否,
16,2025/1/27,星期一,可交易,常规交易日,09:30,16:00,否,
17,2025/1/28,星期二,可交易,常规交易日,09:30,16:00,否,
18,2025/1/29,星期三,可交易,常规交易日,09:30,16:00,否,
19,2025/1/30,星期四,可交易,常规交易日,09:30,16:00,否,
20,2025/1/31,星期五,可交易,常规交易日,09:30,16:00,否,
21,2025/2/3,星期一,可交易,常规交易日,09:30,16:00,否,
22,2025/2/4,星期二,可交易,常规交易日,09:30,16:00,否,
23,2025/2/5,星期三,可交易,常规交易日,09:30,16:00,否,
24,2025/2/6,星期四,可交易,常规交易日,09:30,16:00,否,
25,2025/2/7,星期五,可交易,常规交易日,09:30,16:00,否,
26,2025/2/10,星期一,可交易,常规交易日,09:30,16:00,否,
27,2025/2/11,星期二,可交易,常规交易日,09:30,16:00,否,
28,2025/2/12,星期三,可交易,常规交易日,09:30,16:00,否,
29,2025/2/13,星期四,可交易,常规交易日,09:30,16:00,否,
30,2025/2/14,星期五,可交易,常规交易日,09:30,16:00,否,
31,2025/2/18,星期二,可交易,常规交易日,09:30,16:00,否,
32,2025/2/19,星期三,可交易,常规交易日,09:30,16:00,否,
33,2025/2/20,星期四,可交易,常规交易日,09:30,16:00,否,
34,2025/2/21,星期五,可交易,常规交易日,09:30,16:00,否,
35,2025/2/24,星期一,可交易,常规交易日,09:30,16:00,否,
36,2025/2/25,星期二,可交易,常规交易日,09:30,16:00,否,
37,2025/2/26,星期三,可交易,常规交易日,09:30,16:00,否,
38,2025/2/27,星期四,可交易,常规交易日,09:30,16:00,否,
39,2025/2/28,星期五,可交易,常规交易日,09:30,16:00,否,
40,2025/3/3,星期一,可交易,常规交易日,09:30,16:00,否,
