ticker,date,open,high,low,close,volume
NVDA,2025/2/20,911.45,929.59,859.46,871.51,18492144
NVDA,2025/2/6,880.17,908.99,873.47,900.5,65147551
BABA,2025/3/3,79.21,79.67,78.4,78.69,35511162
NVDA,2025/2/21,873.9,899.37,868.46,891.95,23404601
MSFT,2025/2/12,451.12,458.86,450.63,458.11,31058226
TSLA,2025/3/4,326.61,327.95,319.54,326.25,15112069
BABA,2025/4/17,79.16,79.46,77.76,77.96,13471472
AAPL,2025/3/14,201.63,204.6,200.08,202.43,69666009
AAPL,2025/2/20,,,,,
JPM,2025/2/27,207.82,208.15,206.8,207.24,53171705
MSFT,2025/3/27,509.56,511.43,485.81,490.56,20713285
BABA,2025/1/28,75.42,76,75.28,75.5,51315115
MSFT,2025/2/17,445.8,460.82,444.64,457.04,38101608
JPM,2025/4/14,209.88,210.53,207.47,209.94,66765698
BABA,2025/2/17,80.56,81.39,79.21,79.58,7988532
AAPL,2025/2/19,211.25,212.34,207.08,209.73,13773754
NVDA,2025/4/22,996.81,997.16,972.17,978.2,52054421
TSLA,2025/3/26,326.85,328.78,312.02,315.93,27458049
MSFT,2025/4/25,468.08,478.16,464.8,471.16,49275796
AAPL,2025/2/17,211.71,213.61,203.46,205.11,13346314
TSLA,2025/4/1,291.5,297.55,290.56,295.87,18593793
AAPL,2025/1/23,194.05,201.95,193.01,201.54,63981109
NVDA,2025/4/7,1030.23,1031.81,977.6,981.47,5494541
AAPL,2025/3/26,189.53,192,188.98,190.82,51352293
AAPL,2025/3/31,195.12,199.3,192.14,198.82,13662140
TSLA,2025/1/31,309.09,310,-3.5,303.55,76726941
JPM,2025/2/24,215.56,217.73,205.08,206.75,26503028
BABA,2025/2/11,74.85,77.36,74.01,77.09,46614329
MSFT,2025/1/20,426.12,428.31,425.82,427.34,32233776
BABA,2025/1/10,69.46,69.71,68.75,69.16,19710936
MSFT,2025/3/25,497.46,507.62,494.63,502,24294300
NVDA,2025/1/9,920.46,928.77,892.57,900.45,41521347
BABA,2025/1/7,71.59,71.96,68.34,68.87,51778615
AAPL,2025/3/13,209.17,213.87,200.51,202.34,16471876
JPM,2025/2/7,193.02,197.75,191.94,196.97,65354516
BABA,2025/4/18,78.12,78.57,77.59,77.97,22825520
JPM,2025/1/7,197.73,203.12,196.46,200.58,15852734
BABA,2025/4/22,80.15,81.4,79.59,80.97,56747133
AAPL,2025/3/19,201.91,204.06,196.57,196.81,37304729
TSLA,2025/2/24,331.98,338.67,329.56,335.9,59469577
NVDA,2025/3/18,965.59,973.14,947.96,952.58,47467830
JPM,2025/1/16,196.19,198.1,184.63,186.07,53024933
NVDA,2025/3/26,938.92,948.21,925.74,927.08,48327098
NVDA,2025/4/8,972.76,978.35,945.15,950.08,16746645
BABA,2025/3/25,71.9,72.15,70.68,71.08,10914947
BABA,2025/2/4,74.17,74.48,72.3,72.96,79720388
AAPL,2025/4/7,193.09,195.97,191.51,191.56,50212420
AAPL,2025/1/15,187.68,189.66,187.42,188.49,26891275
AAPL,2025/2/24,211.31,211.6,204.34,205.27,38145355
AAPL,2025/4/10,198.14,199.76,189.08,190.2,68214183
TSLA,2025/2/12,330.39,337.51,328.16,336.61,77473296
MSFT,2025/3/10,457.92,465.86,452.46,458.87,15877286
NVDA,2025/2/18,886.52,897.05,875.87,891.89,21496140
JPM,2025/1/15,188.16,196.11,187.93,195.09,43836047
JPM,2025/1/31,205.6,209.7,204.33,205.43,49342387
JPM,2025/3/28,184.81,186.01,181.38,182.58,28801974
NVDA,2025/2/17,919.26,931.39,877.16,885.54,63040959
BABA,2025/3/27,72.07,73.7,71.93,73.26,48052247
NVDA,2025/4/3,983.53,1039.54,973.54,1030.99,9999999999
AAPL,2025/1/8,187.87,189.42,181.09,183.38,45697558
JPM,2025/2/11,202.26,1,210,206.64,59396522
AAPL,2025/2/28,213.86,219.15,211.26,218.86,21056108
AAPL,2025/1/10,182.81,188.68,181.61,186.88,8591203
AAPL,2025/3/3,219.63,221.45,211.14,211.24,45650351
AAPL,2025/4/24,199.5,200.37,193.88,195.78,49922714
JPM,2025/2/5,201.77,202.75,198.41,198.56,50483130
NVDA,2025/1/14,898.17,905.04,891.33,895.23,59625841
NVDA,2025/2/7,895.84,922.43,891.33,918.45,39663488
AAPL,2025/1/30,204.2,212.08,202.15,211.88,31620686
MSFT,2025/4/24,457.23,479.69,453.44,471.59,13808037
BABA,2025/3/12,76.27,77.32,73.61,73.73,25548468
BABA,2025/2/20,79.73,81.9,78.93,81.41,6923443
BABA,2025/2/25,81.35,81.43,79.92,80.32,51025961
BABA,2025/1/15,70.56,71.81,70,70.99,33990269
AAPL,2025/4/3,197.82,198.5,192.29,195.55,12485803
JPM,2025/1/23,189.72,192.27,189.44,192.02,76774052
MSFT,2025/2/3,427.24,433.74,424.8,428,41465830
JPM,2025/3/24,195.31,196.42,191.77,194.7,43128721
NVDA,2025/1/15,897.24,898.22,885.62,891.04,35984489
JPM,2025/3/10,196.83,198.04,192.32,193.76,62036431
BABA,2025/4/24,82.96,83.34,81.44,82.29,66240793
JPM,2025/3/21,0.01,0.02,0.01,0.02,999999999
BABA,2025/4/3,73.13,76.19,72.94,75.73,15441231
TSLA,2025/4/21,316.18,318.59,310.12,313.46,58209095
AAPL,2025/2/26,204.14,209.93,204.05,208.58,21434135
TSLA,2025/2/3,304.2,309.28,303.34,307.52,67823928
BABA,2025/3/6,74.94,76.59,74.93,76.06,79062520
MSFT,2025/1/8,423.84,457.28,417.12,454.06,59181067
NVDA,2025/2/28,883.69,896.11,871.79,894.27,53588334
JPM,2025/1/3,197.13,202.29,195.35,200.4,3126937
TSLA,2025/4/23,311.14,317.1,308.33,311.62,73524298
MSFT,2025/4/17,412.96,431.26,412.2,429.3,69105059
MSFT,2025/3/6,473.71,482.44,459.67,462.48,61670393
AAPL,2025/1/17,192.15,194.21,191.21,193.93,29300785
AAPL,2025/2/12,214.06,216.51,210.62,210.81,2455292
JPM,2025/4/11,204.73,209.89,202.93,208.93,79605028
AAPL,2025/4/25,194.61,195.73,193.4,193.61,12781826
MSFT,2025/1/21,430.69,438.42,425.05,434.06,32314402
AAPL,2025/4/22,189.71,192.5,188.1,191.76,-500000
NVDA,2025/2/14,933.57,938.05,916.51,922.86,29252682
